1,Medium,2,Wicked Skull,Monstrosity,ToB2 368,1,Agnibarra,Monstrosity,CC 9
2,Medium,5,Magewright,Humanoid,Ebb 318,2,Bandit,Humanoid,MM 343
3,Medium,4,Gremishka,Monstrosity,VRgtR 235,1,Male Steeder,Monstrosity,MTF 238
4,Medium,2,Mule,Beast,MM 333,2,Rothe,Beast,VGM 207
5,Medium,5,Hawk,Beast,MM 330,1,Crocodile,Beast,MM 320
6,Medium,10,Lantern Beetle,Beast,ToB2 40
7,Medium,1,Spider' Red-Banded Line,Beast,ToB 363,1,Swarm of Compsognathus,Beast,ToB2 108
8,Medium,2,Merfolk,Humanoid,MM 218,1,Mantik’s Barbed,Humanoid,CC 263
9,Medium,5,Bilby,Beast,ToB2 388,2,Flying Snake,Beast,MM 322
10,Medium,4,Kobold,Humanoid,MM 195,1,Winged Kobold,Humanoid,MM 195
11,Medium,2,Flying Snake,Beast,MM 322,2,Jeholopterus,Beast,ToB3 127
12,Medium,5,Owl,Beast,MM 333,1,Swarm of Rot Grubs,Beast,VGM 208
13,Medium,10,Deer,Beast,MM 321
14,Medium,1,Deep Rothe,Beast,VGM 207,1,Spurred Water Skate,Beast,ToB2 399
15,Medium,2,Slaad Tadpole,Aberration,MM 276,1,Core Spawn Crawler,Aberration,EGtW 286
16,Medium,5,Hyena,Beast,MM 331,2,Dolphin,Beast,VGM 208
17,Medium,4,Blood-Toll Harpy,Monstrosity,MOoT 227,1,Orniraptor,Monstrosity,ToB2 285
18,Medium,2,Mastiff,Beast,MM 332,2,Velociraptor,Beast,VGM 140
19,Medium,5,Commoner,Humanoid,MM 344,1,Hobgoblin,Humanoid,MM 186
20,Medium,10,Homunculus,Construct,MM 188
21,Medium,1,Draft Horse,Beast,MM 321,1,Conniption Bug,Beast,ToB3 93
22,Medium,2,Mule,Beast,MM 333,1,Sporous Crap,Beast,ToB2 398
23,Medium,5,Badger,Beast,MM 318,2,Mastiff,Beast,MM 332
24,Medium,4,Leonino,Beast,CC 250,1,Cow,Beast,VGM 207
25,Medium,2,Skavenslave,Humanoid,Skaven 5,2,Grimlock,Humanoid,MM 175
26,Medium,5,Raven,Beast,MM 335,1,Swarm of Meerkats,Beast,ToB3 268
27,Medium,10,Giant Fire Beetle,Beast,MM 325
28,Medium,1,Steam Mephit,Elemental,MM 217,1,Galvanice Weird,Elemental,GGR 209
29,Medium,2,Sniffer Beetle,Beast,ToB2 40,1,Swarm of Quippers,Beast,MM 338
30,Medium,5,Octopus,Beast,MM 333,2,Giant Weasel,Beast,MM 329
31,Hard,1,Shoth' Sooze,Aberration,CC 334,1,Grindylow,Aberration,CC 210
32,Hard,7,Vulture,Beast,MM 339,2,Jeholopterus,Beast,ToB3 127
33,Hard,3,Giant Moth,Beast,CC 178,2,Brumalek,Beast,ToB3 70
34,Hard,2,Giant Centipede,Beast,MM 323,1,Giant Hyena,Beast,MM 326
35,Hard,3,Fennec Fox,Beast,ToB2 390,3,Resinous Frog,Beast,ToB2 397
36,Hard,7,Bilby,Beast,ToB2 388,3,Camel,Beast,MM 320
37,Hard,1,Eshin Saboteur,Humanoid,Skaven 10
38,Hard,7,Meerkat,Beast,ToB3 268,1,Giant Sea Horse,Beast,MM 328
39,Hard,6,Stryx,Monstrosity,ToB 369,1,Acid Ant,Monstrosity,CC 8
40,Hard,3,Dolphin,Beast,VGM 208,1,Clacker Beetle Soldier,Beast,ToB3 54
41,Hard,1,Magma Mephit,Elemental,MM 216,1,Fire Snake,Elemental,MM 265
42,Hard,7,Quipper,Beast,MM 335,2,Pteranodon,Beast,MM 80
43,Hard,3,Hoard Scarab,Monstrosity,FToD 205,2,Darkmantle,Monstrosity,MM 46
44,Hard,2,Tortle,Humanoid,MTF 242,1,Gnoll Flesh Gnawer,Humanoid,VGM 154
45,Hard,3,Fennec Fox,Beast,ToB2 390,3,Blood Barnacle,Beast,ToB3 62
46,Hard,7,Octopus,Beast,MM 333,3,Compsognathus,Beast,ToB2 108
47,Hard,1,Birgemon Seal,Aberration,ToB3 57
48,Hard,7,Bat,Beast,MM 318,1,Moon Weaver,Beast,ToB3 274
49,Hard,6,Giant Weasel,Beast,MM 329,1,Garroter Crab,Beast,ToB 208
50,Hard,3,Compsognathus,Beast,ToB2 108,1,Balloon Spider,Beast,ToB2 387
51,Hard,1,Swarm of Rot Grubs,Beast,VGM 208,1,Bastet Temple Cat,Beast,ToB 32
52,Hard,7,Octopus,Beast,MM 333,2,Giant Mongoose,Beast,ToB2 393
53,Hard,3,Compsognathus,Beast,ToB2 108,2,Porcellina,Beast,ToB3 317
54,Hard,2,Shiftshroom,Plant,ToB2 159,1,Garlicle,Plant,ToB2 162
55,Hard,3,Blood-Toll Harpy,Monstrosity,MOoT 227,3,Acid Ant,Monstrosity,CC 8
56,Hard,7,Jackal,Beast,MM 331,3,Giant Weasel,Beast,MM 329
57,Hard,1,Spined Devil,Fiend,MM 78
58,Hard,7,Commoner,Humanoid,MM 344,1,Sahuagin,Humanoid,MM 263
59,Hard,6,Wicked Skull,Monstrosity,ToB2 368,1,Male Steeder,Monstrosity,MTF 238
60,Hard,3,Compsognathus,Beast,ToB2 108,1,Spurred Water Skate,Beast,ToB2 399
61,Deadly,8,Dolphin,Beast,VGM 208
62,Deadly,4,Cikavak,Beast,ToB 58,1,Clacker Beetle Soldier,Beast,ToB3 54
63,Deadly,2,Gnoll,Humanoid,MM 163,1,Serpentfolk of Yig,Humanoid,CC 324
64,Deadly,4,Twig Blight,Plant,MM 32,2,Vine Blight,Plant,MM 32
65,Deadly,10,Weasel,Beast,MM 340,1,Black Bear,Beast,MM 318
66,Deadly,1,Mydnari,Humanoid,ToB2 264,1,Cult Fanatic,Humanoid,MM 345
67,Deadly,2,Pteranodon,Beast,MM 80,2,Giant Wasp,Beast,MM 329
68,Deadly,10,Goat,Beast,MM 330,2,Deep Rothe,Beast,VGM 207
69,Deadly,8,Fennec Fox,Beast,ToB2 390
70,Deadly,4,Giant Crab,Beast,MM 324,1,Giant Hyena,Beast,MM 326
71,Deadly,2,Bone Crab,Beast,ToB 40,1,Swarm of Bees,Beast,ToB2 400
72,Deadly,4,Giant Rat,Beast,MM 327,2,War Ostrich,Beast,ToB 307
73,Deadly,10,Raven,Beast,MM 335,1,Giant Goat,Beast,MM 326
74,Deadly,1,Amphisbaena,Monstrosity,MOoT 208,1,Ettercap,Monstrosity,MM 131
75,Deadly,2,Ratfolk,Humanoid,ToB 320,2,Mydnari,Humanoid,ToB2 264
76,Deadly,10,Scorpion,Beast,MM 337,2,Giant Lizard,Beast,MM 326
77,Deadly,8,Bandit,Humanoid,MM 343
78,Deadly,4,Merfolk,Humanoid,MM 218,1,Eonic Drifter,Humanoid,ToB 177
79,Deadly,2,Clockwork Beetle,Construct,ToB 60,1,Bronze Sable,Construct,MOoT 210
80,Deadly,4,Guard,Humanoid,MM 347,2,Burrowling,Humanoid,ToB 49
81,Deadly,10,Lizard,Beast,MM 332,1,Dire Rat,Beast,Skaven 15
82,Deadly,1,Alkonost,Monstrosity,CC 12,1,Mimic,Monstrosity,MM 220
