1,Medium,1,Giant Rat,Beast,MM 327,1,Ape,Beast,MM 317
2,Medium,4,Blood-Toll Harpy,Monstrosity,MOoT 227
3,Medium,4,Hyena,Beast,MM 331,1,Howler Baboon,Beast,ToB2 395
4,Medium,4,Scorpion,Beast,MM 337,2,Giant Crab,Beast,MM 324
5,Medium,8,Awakened Shrub,Plant,MM 317
6,Medium,2,Wicked Skull,Monstrosity,ToB2 368,1,Piercer,Monstrosity,MM 252
7,Medium,1,Leonino,Beast,CC 250,1,Bone Crab,Beast,ToB 40
8,Medium,4,Hoard Scarab,Monstrosity,FToD 205
9,Medium,4,Badger,Beast,MM 318,1,Giant Centipede,Beast,MM 323
10,Medium,4,Lemure,Fiend,MM 76,2,Manes,Fiend,MM 60
11,Medium,8,Cat,Beast,MM 320
12,Medium,2,Young Kruthik,Monstrosity,MTF 211,1,Piercer,Monstrosity,MM 252
13,Medium,1,Stirge,Beast,MM 284,1,Black Bear,Beast,MM 318
14,Medium,4,Leonino,Beast,CC 250
15,Medium,4,Lizard,Beast,MM 332,1,Draft Horse,Beast,MM 321
16,Medium,4,Quipper,Beast,MM 335,2,Giant Weasel,Beast,MM 329
17,Medium,8,Myconid Sprout,Plant,MM 230
18,Medium,2,Young Kruthik,Monstrosity,MTF 211,1,Cockatrice,Monstrosity,MM 42
19,Medium,1,Tribal Warrior,Humanoid,MM 350,1,Thug,Humanoid,MM 350
20,Medium,4,Edjet Initiate,Humanoid,ToB2 131
21,Medium,4,Hyena,Beast,MM 331,1,Bull,Beast,ToB2 388
22,Medium,4,Sea Horse,Beast,MM 337,2,Blood Hawk,Beast,MM 319
23,Medium,8,Cat,Beast,MM 320
24,Medium,2,Expeditious Messenger,Construct,Ebb 293,1,Clockwork Watchman,Construct,ToB 65
25,Medium,1,Edjet Initiate,Humanoid,ToB2 131,1,Rubberbelt Stalker,Humanoid,GGR 239
26,Medium,4,Climbing Vine,Plant,ToB3 85
27,Medium,4,Frog,Beast,MM 322,1,Draft Horse,Beast,MM 321
28,Medium,4,Myconid Sprout,Plant,MM 230,2,Pixie's Umbrella,Plant,ToB2 158
29,Medium,8,Badger,Beast,MM 318
30,Medium,2,Xvart,Humanoid,VGM 200,1,Gnoll,Humanoid,MM 163
31,Hard,6,Dolphin,Beast,VGM 208
32,Hard,6,Baboon,Beast,MM 318,1,Swarm of Bats,Beast,MM 337
33,Hard,4,Blood-Toll Harpy,Monstrosity,MOoT 227,1,Exploding Toad,Monstrosity,CC 150
34,Hard,6,Owl,Beast,MM 333,2,Camel,Beast,MM 320
35,Hard,2,Climbing Vine,Plant,ToB3 85,2,Shiftshroom,Plant,ToB2 159
36,Hard,2,Kobold,Humanoid,MM 195,1,Ratfolk Warlock,Humanoid,CC 316
37,Hard,1,Boar,Beast,MM 319,1,Conniption Bug,Beast,ToB3 93
38,Hard,6,Young Kruthik,Monstrosity,MTF 211
39,Hard,6,Octopus,Beast,MM 333,1,Giant Bat,Beast,MM 323
40,Hard,4,Twig Blight,Plant,MM 32,1,Needle Blight,Plant,MM 32
41,Hard,6,Lemure,Fiend,MM 76,2,Manes,Fiend,MM 60
42,Hard,2,Sniffer Beetle,Beast,ToB2 40,2,Rothe,Beast,VGM 207
43,Hard,2,Expeditious Messenger,Construct,Ebb 293,1,Golem' Lesser' Mud,Construct,CC 201
44,Hard,1,Giant Moth' Sootwing,Beast,CC 179,1,Lion,Beast,MM 331
45,Hard,6,Noble,Humanoid,MM 348
46,Hard,6,Cranium Rat,Beast,VGM 133,1,Snow Cat,Beast,CC 346
47,Hard,4,Mule,Beast,MM 333,1,Fastieth,Beast,Ebb 289
48,Hard,6,Bilby,Beast,ToB2 388,2,Sniffer Beetle,Beast,ToB2 40
49,Hard,2,Gremishka,Monstrosity,VRgtR 235,2,Wretched Sorrowsworn,Monstrosity,MTF 233
50,Hard,2,Flying Snake,Beast,MM 322,1,Swarm of Quippers,Beast,MM 338
51,Hard,1,Xanka,Construct,ToB 411,1,Stained-Glass Moth,Construct,ToB3 353
52,Hard,6,Clockwork Servant,Construct,CC 65
53,Hard,6,Deer,Beast,MM 321,1,Alligator,Beast,ToB2 387
54,Hard,4,Wharfling,Beast,ToB 407,1,Pteranodon,Beast,MM 80
55,Hard,6,Rat,Beast,MM 335,2,Pony,Beast,MM 335
56,Hard,2,Giant Moth,Beast,CC 178,2,Fastieth,Beast,Ebb 289
57,Hard,2,Flumph,Aberration,MM 135,1,Sema,Aberration,ToB2 320
58,Hard,1,Kenku,Humanoid,MM 194,1,Kuo-toa Whip,Humanoid,MM 200
59,Hard,6,Climbing Vine,Plant,ToB3 85
60,Hard,6,Deer,Beast,MM 321,1,Giant Badger,Beast,MM 323
61,Deadly,8,Lantern Beetle,Beast,ToB2 40,3,Mastiff,Beast,MM 332
62,Deadly,8,Lizard,Beast,MM 332,1,Giant Moth' Sootwing,Beast,CC 179
63,Deadly,3,Cikavak,Beast,ToB 58,2,Axe Beak,Beast,MM 317
64,Deadly,6,Expeditious Messenger,Construct,Ebb 293,1,Metallic Warbler,Construct,FToD 210
65,Deadly,6,Gorao-Ka,Fey,ToB2 221
66,Deadly,1,Pseudodragon,Dragon,MM 254,1,Drake' Pact,Dragon,CC 130
67,Deadly,3,Camel,Beast,MM 320,1,Clacker Beetle Soldier,Beast,ToB3 54
68,Deadly,2,Servitor Thrull,Construct,GGR 221,1,Golem' Lesser' Mud,Construct,CC 201
69,Deadly,8,Baboon,Beast,MM 318,3,Sniffer Beetle,Beast,ToB2 40
70,Deadly,8,Vulture,Beast,MM 339,1,Ox,Beast,VGM 207
71,Deadly,3,Neogi Hatchling,Aberration,VGM 179,2,Mimic' Map,Aberration,ToB 289
72,Deadly,6,Mule,Beast,MM 333,1,Suturefly,Beast,ToB 372
73,Deadly,6,Mule,Beast,MM 333
74,Deadly,1,Xanka,Construct,ToB 411,1,Clockwork Soldier,Construct,CC 65
