1,Medium,6,Blood-Toll Harpy,Monstrosity,MOoT 227
2,Medium,4,Dolphin,Beast,VGM 208,1,Giant Goat,Beast,MM 326
3,Medium,6,Hawk,Beast,MM 330,2,Giant Honey Bee,Beast,ToB2 392
4,Medium,6,Jackal,Beast,MM 331,1,Swarm of Insects,Beast,MM 338
5,Medium,6,Homunculus,Construct,MM 188,4,Expeditious Messenger,Construct,Ebb 293
6,Medium,2,Blood-Toll Harpy,Monstrosity,MOoT 227,2,Rust Monster,Monstrosity,MM 262
7,Medium,12,Weasel,Beast,MM 340
8,Medium,1,Giant Mongoose,Beast,ToB2 393,1,Swarm of Esteron,Beast,ToB2 400
9,Medium,1,Anubian,Elemental,ToB 24
10,Medium,2,Monodrone,Construct,MM 224,1,Stone Cursed,Construct,MTF 240
11,Medium,6,Edjet Initiate,Humanoid,ToB2 131
12,Medium,4,Valenar Hawk,Fey,Ebb 312,1,Attercroppe,Fey,ToB2 32
13,Medium,6,Crawling Claw,Undead,MM 44,2,Gnoll Witherling,Undead,VGM 155
14,Medium,6,Bat,Beast,MM 318,1,Giant Sea Horse,Beast,MM 328
15,Medium,6,Rat,Beast,MM 335,4,Flying Snake,Beast,MM 322
16,Medium,2,Monodrone,Construct,MM 224,2,Empty Cloak,Construct,ToB 176
17,Medium,12,Goat,Beast,MM 330
18,Medium,1,Metallic Warbler,Construct,FToD 210,1,Spider Thief,Construct,ToB 366
19,Medium,1,Duergar Xarrorn,Humanoid,MTF 193
20,Medium,2,Bandit,Humanoid,MM 343,1,Dark Servant,Humanoid,CC 72
21,Medium,6,Leonino,Beast,CC 250
22,Medium,4,Xvart,Humanoid,VGM 200,1,Scorchbringer Guard,Humanoid,GGR 243
23,Medium,6,Deer,Beast,MM 321,2,Deep Rothe,Beast,VGM 207
24,Medium,6,Lizard,Beast,MM 332,1,Swarm of Rot Grubs,Beast,VGM 208
25,Medium,6,Lantern Beetle,Beast,ToB2 40,4,Dolphin,Beast,VGM 208
26,Medium,2,Flying Snake,Beast,MM 322,2,Swarm of Rot Grubs,Beast,VGM 208
27,Medium,12,Bat,Beast,MM 318
28,Medium,1,Orniraptor,Monstrosity,ToB2 285,1,Lou Carcolh,Monstrosity,CC 257
29,Medium,1,Bandit Captain,Humanoid,MM 344
30,Medium,2,Blood-Toll Harpy,Monstrosity,MOoT 227,1,Capybear,Monstrosity,ToB3 72
31,Hard,3,Clockwork Servant,Construct,CC 65,2,Clockwork Beetle,Construct,ToB 60
32,Hard,1,Alpine Creeper,Plant,ToB3 19
33,Hard,6,Pony,Beast,MM 335,2,Deep Rothe,Beast,VGM 207
34,Hard,9,Bat,Beast,MM 318,1,Warhorse,Beast,MM 340
35,Hard,1,Shiftshroom,Plant,ToB2 159,1,Husker,Plant,ToB3 17
36,Hard,9,Quipper,Beast,MM 335,2,Giant Armadillo,Beast,ToB2 392
37,Hard,3,Stirge,Beast,MM 284,3,Swarm of Ravens,Beast,MM 339
38,Hard,2,Blink Dog,Fey,MM 318,1,Beli,Fey,ToB 35
39,Hard,3,Male Steeder,Monstrosity,MTF 238,1,Carbuncle,Monstrosity,CC 57
40,Hard,9,Hawk,Beast,MM 330,3,Giant Moth,Beast,CC 178
41,Hard,9,Flumph,Aberration,MM 135
42,Hard,6,Gorao-Ka,Fey,ToB2 221,1,Clurichaun,Fey,ToB 67
43,Hard,3,Blood-Toll Harpy,Monstrosity,MOoT 227,2,Piercer,Monstrosity,MM 252
44,Hard,1,Mummy,Undead,MM 228
45,Hard,6,Sniffer Beetle,Beast,ToB2 40,2,Dinosaur' Archaeopteryx,Beast,CC 108
46,Hard,9,Bat,Beast,MM 318,1,Dire Rat,Beast,Skaven 15
47,Hard,1,Harefolk,Humanoid,ToB2 194,1,Inspired,Humanoid,Ebb 294
48,Hard,9,Octopus,Beast,MM 333,2,Giant Moth' Sootwing,Beast,CC 179
49,Hard,3,Fennec Fox,Beast,ToB2 390,3,Grove Bear,Beast,ToB2 394
50,Hard,2,Kalke,Fiend,ToB 289,1,Spined Devil,Fiend,MM 78
51,Hard,3,Spider' Red-Banded Line,Beast,ToB 363,1,Tiger,Beast,MM 339
52,Hard,9,Bilby,Beast,ToB2 388,3,Giant Crab,Beast,MM 324
53,Hard,9,Pixie's Umbrella,Plant,ToB2 158
54,Hard,6,Monodrone,Construct,MM 224,1,Living Wick,Construct,ToB 278
55,Hard,3,Pony,Beast,MM 335,2,Reef Shark,Beast,MM 336
56,Hard,1,Pale Screamer,Aberration,ToB2 290
57,Hard,6,Neogi Hatchling,Aberration,VGM 179,2,Star Spawn Grue,Aberration,MTF 234
58,Hard,9,Raven,Beast,MM 335,1,Ape,Beast,MM 317
59,Hard,1,Giant Centipede,Beast,MM 323,1,Spider' Crypt,Beast,CC 348
60,Hard,9,Deer,Beast,MM 321,2,Garroter Crab,Beast,ToB 208
61,Deadly,12,Hyena,Beast,MM 331,1,Giant Sea Horse,Beast,MM 328
62,Deadly,1,Swarm of Meerkats,Beast,ToB3 268,1,Ankylosaurus,Beast,MM 79
63,Deadly,1,Manabane Scarab Swarm,Beast,ToB 374
64,Deadly,12,Lemure,Fiend,MM 76,2,Abyssal Wretch,Fiend,MTF 136
65,Deadly,4,Wharfling,Beast,ToB 407,2,Reef Shark,Beast,MM 336
66,Deadly,8,Shroud,Undead,ToB 348,2,Zombie,Undead,MM 316
67,Deadly,2,Snow Cat,Beast,CC 346,2,Giant Toad,Beast,MM 329
68,Deadly,2,Goblin,Humanoid,MM 166,1,Triton Shorestalker,Humanoid,MOoT 244
69,Deadly,8,Boggle,Fey,VGM 128,1,Rum Gremlin,Fey,ToB 239
70,Deadly,6,Shiftshroom,Plant,ToB2 159,1,Gas Spore,Plant,MM 138
71,Deadly,4,Noble,Humanoid,MM 348,1,Grung Elite Warrior,Humanoid,VGM 157
72,Deadly,4,Climbing Vine,Plant,ToB3 85,4,Tuberkith,Plant,ToB3 379
73,Deadly,12,Goat,Beast,MM 330,1,Swarm of Rot Grubs,Beast,VGM 208
74,Deadly,1,Sedge Dragonette,Dragon,ToB3 149,1,Drake' Skull,Dragon,CC 132
75,Deadly,1,Quickserpent,Beast,ToB2 303
76,Deadly,12,Spider,Beast,MM 337,2,Giant Moth' Rimewing,Beast,CC 178
77,Deadly,4,Wharfling,Beast,ToB 407,2,Crocodile,Beast,MM 320
78,Deadly,8,Shroud,Undead,ToB 348,2,Ghoul Bat,Undead,ToB2 391
79,Deadly,2,Barnyard Dragonette,Dragon,ToB3 148,2,Drake' Crimson,Dragon,ToB 151
80,Deadly,2,Suturefly,Beast,ToB 372,1,Swarm of Fleas,Beast,ToB3 197
81,Deadly,8,Bookkeeper,Construct,CC 55,1,Clockwork Conductor,Construct,ToB3 87
82,Deadly,6,Giant Owl,Beast,MM 327,1,Black Bear,Beast,MM 318
83,Deadly,4,Stryx,Monstrosity,ToB 369,1,Shadow Mastiff,Monstrosity,VGM 190
84,Deadly,4,Blood Hawk,Beast,MM 319,4,Alligator Turtle,Beast,ToB2 387
85,Deadly,12,Homunculus,Construct,MM 188,1,Winged Thrull,Construct,GGR 221
86,Deadly,1,Black Bear,Beast,MM 318,1,Giant Scorpion,Beast,MM 327
87,Deadly,1,Stone-Eater Slime,Ooze,ToB3 357
88,Deadly,12,Myconid Sprout,Plant,MM 230,2,Tuberkith,Plant,ToB3 379
89,Deadly,4,Mastiff,Beast,MM 332,2,Swarm of Rot Grubs,Beast,VGM 208
90,Deadly,8,Hoard Scarab,Monstrosity,FToD 205,2,Orniraptor,Monstrosity,ToB2 285
91,Insanity,6,Rust Monster,Monstrosity,MM 262,1,Death Dog,Monstrosity,MM 321
92,Insanity,9,Wharfling,Beast,ToB 407,1,Dire Wolf,Beast,MM 321
93,Insanity,8,Musk Deer,Beast,ToB3 282,1,Glass Gator,Beast,ToB 228
94,Insanity,1,Grindylow,Aberration,CC 210,1,Faceless Wanderer,Aberration,ToB2 139
95,Insanity,1,The Heavy Weapon Rat,Humanoid,Skaven 2
96,Insanity,4,Zombie,Undead,MM 316,1,Smokeplume Zombie,Undead,ToB3 400
97,Insanity,2,Foxin,Fey,CC 163,2,Akanka,Fey,ToB3 10
98,Insanity,2,Kraul Warrior,Humanoid,GGR 213,1,Wereboar,Humanoid,MM 209
99,Insanity,24,Cranium Rat,Beast,VGM 133
100,Insanity,4,Clockwork Armadillo,Construct,ToB3 86,2,Quadrone,Construct,MM 226
101,Medium,4,Shroud,Undead,ToB 348,2,Nehekhara Archer,Undead,TombKings 7
102,Medium,1,Orc Nurtured One of Yurtrus,Humanoid,VGM 184,1,Erina Tussler,Humanoid,ToB3 172
103,Medium,8,Gremishka,Monstrosity,VRgtR 235,2,Exploding Toad,Monstrosity,CC 150
104,Medium,2,Witchlight,Construct,ToB 409,2,Scarecrow,Construct,MM 268
105,Medium,12,Deer,Beast,MM 321,2,Giant Bombardier Beetle,Beast,ToB2 39
106,Medium,2,Grung,Humanoid,VGM 156,1,Kobold' Junk Shaman,Humanoid,CC 238
107,Medium,4,Blood Hawk,Beast,MM 319,1,Wakwak,Beast,ToB3 388
108,Medium,8,Mule,Beast,MM 333,1,Dire Rat,Beast,Skaven 15
109,Medium,4,Slaad Tadpole,Aberration,MM 276,4,Star Spawn Grue,Aberration,MTF 234
110,Medium,1,Mngwa,Aberration,ToB 293
111,Medium,6,Giant Gray Owl,Beast,ToB2 394,1,War Ostrich,Beast,ToB 307
112,Medium,12,Lizard,Beast,MM 332,1,Ape,Beast,MM 317
113,Medium,4,Pixie's Umbrella,Plant,ToB2 158,2,Boomer,Plant,ToB2 157
114,Medium,1,Weirding Scroll,Construct,CC 376,1,Vine Golem,Construct,ToB2 181
115,Medium,8,Pony,Beast,MM 335,2,Giant Moth' Rimewing,Beast,CC 178
116,Medium,2,Smoke Mephit,Elemental,MM 217,2,Fire Snake,Elemental,MM 265
117,Medium,12,Frog,Beast,MM 322,2,Necrotic Tick,Beast,CC 275
118,Medium,2,Star Spawn Grue,Aberration,MTF 234,1,Birgemon Seal,Aberration,ToB3 57
119,Medium,4,Pixie's Umbrella,Plant,ToB2 158,1,Tendril Puppet,Plant,ToB 403
120,Medium,8,Camel,Beast,MM 320,1,Brumalek,Beast,ToB3 70
121,Medium,4,Gorao-Ka,Fey,ToB2 221,4,Living Shade,Fey,CC 255
122,Medium,1,Water Leaper,Monstrosity,ToB 406
123,Medium,6,Nyctli,Fey,ToB2 271,1,Satyr,Fey,MM 267
