1,Medium,3,Hawk,Beast,MM 330,2,Cikavak,Beast,ToB 58
2,Medium,1,Shard Swarm,Construct,CC 329
3,Medium,3,Baboon,Beast,MM 318,1,Giant Bombardier Beetle,Beast,ToB2 39
4,Medium,6,Crawling Claw,Undead,MM 44
5,Medium,3,Clockwork Servant,Construct,CC 65
6,Medium,1,Bandit,Humanoid,MM 343,1,Jackalwere,Humanoid,MM 193
7,Medium,3,Meerkat,Beast,ToB3 268,2,Poisonous Snake,Beast,MM 334
8,Medium,1,Soldier,Humanoid,GGR 226
9,Medium,3,Shrieker,Plant,MM 138,1,Tuberkith,Plant,ToB3 379
10,Medium,6,Spider,Beast,MM 337
11,Medium,3,Manes,Fiend,MM 60
12,Medium,1,Leonino,Beast,CC 250,1,Warhorse,Beast,MM 340
13,Medium,3,Meerkat,Beast,ToB3 268,2,Leonino,Beast,CC 250
14,Medium,1,Nkosi,Humanoid,ToB 306
15,Medium,3,Quipper,Beast,MM 335,1,Giant Bombardier Beetle,Beast,ToB2 39
16,Medium,6,Lemure,Fiend,MM 76
17,Medium,3,Edjet Initiate,Humanoid,ToB2 131
18,Medium,1,Edjet Initiate,Humanoid,ToB2 131,1,Thug,Humanoid,MM 350
19,Medium,3,Jackal,Beast,MM 331,2,Dolphin,Beast,VGM 208
20,Medium,1,Servitor Rakshasa,Fiend,ToB3 329
21,Medium,3,Spider,Beast,MM 337,1,Panther,Beast,MM 333
22,Medium,6,Scorpion,Beast,MM 337
23,Medium,3,Monodrone,Construct,MM 224
24,Medium,1,Boggle,Fey,VGM 128,1,Bilge Gremlin,Fey,ToB3 219
25,Medium,3,Lantern Beetle,Beast,ToB2 40,2,Cikavak,Beast,ToB 58
26,Medium,1,Soldier,Humanoid,GGR 226
27,Medium,3,Crab,Beast,MM 320,1,Giant Leech,Beast,ToB2 393
28,Medium,6,Owl,Beast,MM 333
29,Medium,3,Twig Blight,Plant,MM 32
30,Medium,1,Dolphin,Beast,VGM 208,1,Giant Sea Horse,Beast,MM 328
31,Hard,4,Dolphin,Beast,VGM 208
32,Hard,1,Pixie's Umbrella,Plant,ToB2 158,1,Mandrake,Plant,CC 260
33,Hard,4,Rat,Beast,MM 335,2,Blood Hawk,Beast,MM 319
34,Hard,8,Myconid Sprout,Plant,MM 230
35,Hard,4,Shrieker,Plant,MM 138,1,Violet Fungus,Plant,MM 138
36,Hard,2,Giant Weasel,Beast,MM 329,1,Crocodile,Beast,MM 320
